endTime,artistName,trackName,msPlayed
2022-05-15 02:34,Nicki Nicole,Colocao,179966
2022-05-15 02:37,Bizarrap,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",177442
2022-05-15 02:40,Trueno,Rain II,198078
2022-05-15 02:40,Kidd Keo,Igot,22094
2022-05-15 02:43,Bizarrap,"Eladio Carrion: Bzrp Music Sessions, Vol. 40",164895
2022-05-15 02:46,Dillom,A$AP,184242
2022-05-15 02:49,Trueno,Rain,182831
2022-05-15 02:52,Dillom,OPA,169824
2022-05-15 02:53,Dillom,SIDE,1253
2022-05-15 02:53,Trueno,DANCE CRIP,1369
2022-05-15 02:53,Bizarrap,"Dillom: Bzrp Music Sessions, Vol. 9",53130
2022-05-15 02:53,NATHY PELUSO,BUENOS AIRES,1695
2022-05-15 02:53,CA7RIEL,OUKE,1253
2022-05-15 02:54,Dillom,PELOTUDA,44280
2022-05-15 02:54,Trueno,PANAMÁ,2832
2022-05-15 02:58,Duki,Sin Culpa (feat.DrefQuila),244771
2022-05-15 02:58,Bizarrap,"Trueno: Bzrp Music Sessions, Vol. 16",117
2022-05-15 03:01,MC's Zaac,Bumbum granada,187461
2022-05-15 03:04,MC Kevinho,Olha A Explosão,162053
2022-05-15 03:07,Plan B,Mi Vecinita,173462
2022-05-15 03:10,CA7RIEL,OUKE,178263
2022-05-15 03:13,Kidd Keo,Igot,195428
2022-05-15 03:14,Trueno,Rain II,32353
2022-05-15 03:14,Bizarrap,"Aleman: Bzrp Music Sessions, Vol. 15",905
2022-05-15 03:17,Bizarrap,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",177442
2022-05-15 03:21,NATHY PELUSO,BUENOS AIRES,240315
2022-05-15 03:24,Nicki Nicole,Colocao,179966
2022-05-15 03:26,Bizarrap,"Eladio Carrion: Bzrp Music Sessions, Vol. 40",164895
2022-05-15 03:29,Dillom,A$AP,184242
2022-05-15 03:33,Duki,Sin Culpa (feat.DrefQuila),244771
2022-05-15 03:36,Trueno,PANAMÁ,171149
2022-05-15 03:38,Dillom,OPA,882
2022-05-15 03:38,Dillom,SIDE,127943
2022-05-15 03:39,Bizarrap,"Trueno: Bzrp Music Sessions, Vol. 16",1091
2022-05-15 03:42,Dillom,PELOTUDA,185905
2022-05-15 03:45,Trueno,Rain,182831
2022-05-15 03:45,Bizarrap,"Dillom: Bzrp Music Sessions, Vol. 9",37518
2022-05-15 03:45,Bizarrap,"Trueno: Bzrp Freestyle Sessions, Vol. 6",1323
2022-05-15 03:48,Trueno,DANCE CRIP,165019
2022-05-15 03:51,Bizarrap,"Nicky Jam: Bzrp Music Sessions, Vol. 41",158086
2022-05-15 03:54,WOS,FRESCO,170302
2022-05-15 03:57,Bhavi,Piso,219924
2022-05-15 04:00,Trueno,Rain,182831
2022-05-15 04:01,John C,C90 - Remix,67409
2022-05-15 04:09,Neo Pistea,"Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",456939
2022-05-15 04:12,Bizarrap,"Ptazeta: Bzrp Music Sessions, Vol. 45",161485
2022-05-15 04:15,WOS,MELÓN VINO,176394
2022-05-15 04:18,Tiago PZK,Salimo de Noche,177857
2022-05-15 04:20,Duki,Goteo,164457
2022-05-15 04:24,Trueno,Atrevido,194747
2022-05-15 04:27,Bhavi,Fresko,201290
2022-05-15 04:30,Kinder Malo,Mentira,203854
2022-05-15 04:33,WOS,ANDRÓMEDA,171475
2022-05-15 04:36,"Pekeño 77, Cazzu, Neo Pistea, C.R.O, Bhavi, Homer El Mero Mero, Ruben Rada",Rangos II,1904
2022-05-15 04:36,Duki,Si Te Sentis Sola,3200
2022-05-15 04:36,Bizarrap,"Cazzu: Bzrp Music Sessions, Vol. 32",1369
2022-05-15 04:36,Bhavi,Zigzag,371
2022-05-15 04:36,Dillom,OPA ATP - Kids Friendly Version,167914
2022-05-15 04:40,Paulo Londra,Nena Maldición (feat. Lenny Tavárez),228874
2022-05-15 04:40,Dillom,OPA,14109
2022-05-15 04:41,Bizarrap,"Aleman: Bzrp Music Sessions, Vol. 15",5131
2022-05-15 04:45,Paulo Londra,Tal Vez,264483
2022-05-15 04:49,Paulo Londra,Chica Paranormal,221214
2022-05-15 04:49,Bizarrap,"Aleman: Bzrp Music Sessions, Vol. 15",835
2022-05-15 04:49,Bad Bunny,Amorfoda,1973
2022-05-15 04:49,WOS,PURPURA,27647
2022-05-15 04:53,Paulo Londra,Dímelo,212515
2022-05-15 04:56,Paulo Londra,Plan A,178202
2022-05-15 05:00,Bizarrap,"Paulo Londra: Bzrp Music Sessions, Vol. 23",258541
2022-05-15 05:03,WOS,ANDRÓMEDA,171475
2022-05-15 05:06,WOS,CANGURO,196745
2022-05-15 05:09,WOS,MELÓN VINO,176394
